OpenFork Discoveries — 2026-08-09
共 300 个仓库（每日上限 300）
条件: 主流语言 · Star 1-20 · 90 天内更新 · 含 README 与许可证 · 非 fork · 非空仓库

1. americanexpress/babel-preset-amex | ✨ Standard babel preset for American Express | JavaScript | 20 stars | Apache-2.0 | https://github.com/americanexpress/babel-preset-amex
2. GoogleChromeLabs/pending-beacon-polyfill |  | JavaScript | 20 stars | Apache-2.0 | https://github.com/GoogleChromeLabs/pending-beacon-polyfill
3. presidential-innovation-fellows/pif-website | PIF website, jekyll flavored | JavaScript | 20 stars | NOASSERTION | https://github.com/presidential-innovation-fellows/pif-website
4. a3rev/a3-lazy-load | Speed up your site and enhance frontend user's visual experience in PC's, Tablets and mobile with a3 Lazy Load. | JavaScript | 20 stars | GPL-3.0 | https://github.com/a3rev/a3-lazy-load
5. emollick/imminence | a suburb, on the last evening - a ten-minute game printed in three inks and a gold. Play: the-imminence.netlify.app | JavaScript | 20 stars | MIT | https://github.com/emollick/imminence
6. itsliaaa/starseed | A lightweight and modular WhatsApp bot built with Baileys, bringing group management, moderation, fun quiz games, and handy tools together in a fast, efficient, and minimal setup. | JavaScript | 20 stars | Apache-2.0 | https://github.com/itsliaaa/starseed
7. EasyEyes/remote-calibrator | Measure screen size, track viewing distance and gaze, and more! | JavaScript | 20 stars | MIT | https://github.com/EasyEyes/remote-calibrator
8. thejfkvis/BedrockX | A heavily optimized version of the bedrock protocol library | JavaScript | 20 stars | MIT | https://github.com/thejfkvis/BedrockX
9. mhkasif/DiskPilot |  | JavaScript | 20 stars | MIT | https://github.com/mhkasif/DiskPilot
10. usyless/twitter-improvements | Easy Twitter/X full quality image and video downloading with custom filenames, easy copying tweets with VXTwitter or FXTwitter links, sidebar and tweet button hiding, and other quality of life features! | JavaScript | 20 stars | GPL-3.0 | https://github.com/usyless/twitter-improvements
11. BkashJEE/hermes-agent-dock | Native Hermes Desktop dock for direct profile chat, concurrent jobs, cancellation, and explicit Kanban assignment. | JavaScript | 20 stars | MIT | https://github.com/BkashJEE/hermes-agent-dock
12. mwakidenis/E-Commerce-Website | This project is an e-commerce website featuring three roles: Admin, User, and Guest. It consists of two systems: MainSystem for core functionalities like browsing, shopping, and management, and SubSystem for payment processing. Built using Node.js, Express.js, and TailwindCSS, it ensures a modern, scalable, and user-friendly experience. | JavaScript | 20 stars | MIT | https://github.com/mwakidenis/E-Commerce-Website
13. Spiker985/x-terminal-reloaded | An xterm based package for providing terminals inside your workspace. | JavaScript | 20 stars | NOASSERTION | https://github.com/Spiker985/x-terminal-reloaded
14. sffxzzp/EpicInfo | 将匹配于其乐社区中的 Epic 游戏链接，并变更已拥有游戏的链接颜色。 | JavaScript | 20 stars | MIT | https://github.com/sffxzzp/EpicInfo
15. alchaincyf/huashu-slide-codex | Codex-only AI visual material production skill — slides + WeChat covers + Bilibili/YouTube thumbnails, powered by built-in image_gen (no API fees) | JavaScript | 20 stars | MIT | https://github.com/alchaincyf/huashu-slide-codex
16. eu-digital-identity-wallet/av-lib-android-zkp-age-icao | Age Verification ZKP ICAO for Android | JavaScript | 20 stars | Apache-2.0 | https://github.com/eu-digital-identity-wallet/av-lib-android-zkp-age-icao
17. paypal/paypal-card-components | A Hosted Fields component for Payments SDK | JavaScript | 20 stars | Apache-2.0 | https://github.com/paypal/paypal-card-components
18. 1024pix/pix-ui | Pix-UI is the implementation of Pix design principles and guidelines for its products. | JavaScript | 20 stars | MIT | https://github.com/1024pix/pix-ui
19. j9t/syntaxp | Super-simple code highlighting via the CSS Custom Highlight API | JavaScript | 20 stars | MIT | https://github.com/j9t/syntaxp
20. dipterix/three-brain-js | Javascript engine for 3D brain model (used by RAVE project) | JavaScript | 20 stars | MPL-2.0 | https://github.com/dipterix/three-brain-js
21. Pradumnasaraf/Pradumnasaraf.github.io | Pradumna's personal website repo. | JavaScript | 20 stars | GPL-3.0 | https://github.com/Pradumnasaraf/Pradumnasaraf.github.io
22. szhsin/eslint-plugin-react-hooks-addons | ESLint rule to check potentially unintended dependencies in the useEffect hook. | JavaScript | 20 stars | MIT | https://github.com/szhsin/eslint-plugin-react-hooks-addons
23. polius/RetroX | Self-hosted retro gaming, right in your browser. | JavaScript | 20 stars | NOASSERTION | https://github.com/polius/RetroX
24. Anbani/anbani.js | Multifunctional javascript toolkit for Georgian Alphabet - Anbani | JavaScript | 20 stars | GPL-3.0 | https://github.com/Anbani/anbani.js
25. SoPat712/obsidian-intelligent-linking | A fork of Smart-Connections by brianpetro | JavaScript | 20 stars | GPL-3.0 | https://github.com/SoPat712/obsidian-intelligent-linking
26. mailmojo/screenie-server | A Node server with a cluster of Puppeteer (Chrome headless) instances for scalable screenshot generation. | JavaScript | 20 stars | MIT | https://github.com/mailmojo/screenie-server
27. Llama-Logic/PlumbBuddy | The friendly helper for Sims 4 mods—crafted with care, open for all. | JavaScript | 20 stars | MIT | https://github.com/Llama-Logic/PlumbBuddy
28. herschel666/exif-loader | Extract EXIF- & IPTC-data from your JPGs during build-time. | JavaScript | 20 stars | MIT | https://github.com/herschel666/exif-loader
29. darthcloud/BlueRetroWebCfg | BlueRetro Web-Bluetooth configuration pages | JavaScript | 20 stars | Apache-2.0 | https://github.com/darthcloud/BlueRetroWebCfg
30. mjbvz/vscode-markdown-yaml-preamble | Makes yaml front matter render as a table in VS Code's built-in markdown preview: | JavaScript | 20 stars | MIT | https://github.com/mjbvz/vscode-markdown-yaml-preamble
31. harsh98trivedi/Instagram-Photo-Downloader | Download Instagram photos with ease. Free, Clean & Simple Instagram Photo Downloader for you. | JavaScript | 20 stars | GPL-3.0 | https://github.com/harsh98trivedi/Instagram-Photo-Downloader
32. yohasebe/fastmail-plus | A Chrome extension to make Fastmail web UI more usable and productive | JavaScript | 20 stars | MIT | https://github.com/yohasebe/fastmail-plus
33. TouhouFishClub/baibaibot |  | JavaScript | 20 stars | MIT | https://github.com/TouhouFishClub/baibaibot
34. ladiaria/utopia-crm | Utopía is an open source platform for community based newsrooms to manage their subscriptions  | JavaScript | 20 stars | BSD-3-Clause | https://github.com/ladiaria/utopia-crm
35. nearform/the-graphql-workshop | A workshop about GraphQL with mercurius | JavaScript | 20 stars | CC-BY-SA-4.0 | https://github.com/nearform/the-graphql-workshop
36. crosswordnexus/html5-crossword-solver | An HTML5 crossword solver that can handle JPZ files | JavaScript | 20 stars | BSD-3-Clause | https://github.com/crosswordnexus/html5-crossword-solver
37. Omar-Azam/forge-agent | Forge Agent is a free, autonomous AI coding agent that requires no API key or subscription. It uses browser automation to communicate with any web based AI assistant, turning it into a fully autonomous coding agent that can read files, write code, run terminal commands, search codebases, and build complete projects from a single prompt. | JavaScript | 20 stars | MIT | https://github.com/Omar-Azam/forge-agent
38. Hubro/tree-sitter-robot | Tree-sitter parser for Robot Framework files | JavaScript | 20 stars | ISC | https://github.com/Hubro/tree-sitter-robot
39. AnEntrypoint/gm |  | JavaScript | 20 stars | MIT | https://github.com/AnEntrypoint/gm
40. mateonunez/fastify-orama | Orama search-engine plugin for Fastify | JavaScript | 20 stars | MIT | https://github.com/mateonunez/fastify-orama
41. slogsdon/parcel-plugin-fable | Parcel bundler plugin for Fable — compile F# to JavaScript inside Parcel's asset pipeline. | JavaScript | 20 stars | MIT | https://github.com/slogsdon/parcel-plugin-fable
42. rkinnett/rkinnett.github.io |  | JavaScript | 20 stars | GPL-3.0 | https://github.com/rkinnett/rkinnett.github.io
43. kiro-community/book-of-kiro | This is the book of Kiro. This book is not maintained by AWS. The information may not be current. | JavaScript | 20 stars | MIT | https://github.com/kiro-community/book-of-kiro
44. sle118/squeezelite-esp32-installer | Web installer for the squeezelite-esp32 project | JavaScript | 20 stars | MIT | https://github.com/sle118/squeezelite-esp32-installer
45. littlebyteorg/appledb-web |  | JavaScript | 20 stars | MIT | https://github.com/littlebyteorg/appledb-web
46. dhis2/data-visualizer-app | DHIS2 Data Visualizer App | JavaScript | 20 stars | BSD-3-Clause | https://github.com/dhis2/data-visualizer-app
47. comunica/jQuery-Widget.js | 🖼 A jQuery widget to query heterogeneous interfaces using Comunica SPARQL | JavaScript | 20 stars | MIT | https://github.com/comunica/jQuery-Widget.js
48. fvdm/nodejs-ns-api | Unofficial NodeJS module for Nederlandse Spoorwegen API | JavaScript | 20 stars | Unlicense | https://github.com/fvdm/nodejs-ns-api
49. Google-Health-API/create-fitbit-app |  | JavaScript | 20 stars | MIT | https://github.com/Google-Health-API/create-fitbit-app
50. lastwall/whmcs-hetzner-cloud-automation | Free WHMCS provisioning module for Hetzner Cloud, allowing automated server creation, Power management, ISO image, Rebuild, Password reset and termination or Suspend directly from WHMCS. | JavaScript | 20 stars | NOASSERTION | https://github.com/lastwall/whmcs-hetzner-cloud-automation
51. NeteaseCloudMusicApiEnhanced/UnblockNeteaseMusic-utils | 网易云音乐受限歌曲解锁API || UnblockNeteaseMusic-utils api | JavaScript | 20 stars | MIT | https://github.com/NeteaseCloudMusicApiEnhanced/UnblockNeteaseMusic-utils
52. 0xs8n/metafaker |  | JavaScript | 20 stars | MIT | https://github.com/0xs8n/metafaker
53. Felix-au/Sonixx-Website-Audio-Routing-and-Soundbaord |  Official landing website for Sonixx, a native Windows virtual audio router that captures per-app live audio and mic streams into a virtual mic for Discord, OBS, and games. Built with React 19, Vite 8 and WebGL Canvas. | JavaScript | 20 stars | MIT | https://github.com/Felix-au/Sonixx-Website-Audio-Routing-and-Soundbaord
54. Kappaemme-git/build-startup-brand | Build a distinctive startup brand identity with Codex and receive an openable visual report. | JavaScript | 20 stars | MIT | https://github.com/Kappaemme-git/build-startup-brand
55. Eomm/why-don-t-you-tweet | Tweet your GitHub events! | JavaScript | 20 stars | MIT | https://github.com/Eomm/why-don-t-you-tweet
56. WICG/install-element | An `<install>` element might be nice. | JavaScript | 20 stars | CC-BY-4.0 | https://github.com/WICG/install-element
57. Orsso/flourish | Motion engine for the GNOME Shell's Dash. Full support for Dash to Dock & Ubuntu Dock. | JavaScript | 20 stars | GPL-2.0 | https://github.com/Orsso/flourish
58. Grisha-Pochuev/finite-magma-e677-to-e255 | The Open Mathematics Project: reproducible research on the finite magma problem E677 -> E255 | JavaScript | 20 stars | MIT | https://github.com/Grisha-Pochuev/finite-magma-e677-to-e255
59. XiaoDaiGua-Ray/vue3-next-qrcode | A QR Code component about vue3 that supports rich attributes such as LOGO GIF. Support SSR! | JavaScript | 20 stars | MIT | https://github.com/XiaoDaiGua-Ray/vue3-next-qrcode
60. Supergiovane/node-red-contrib-sia-ultimate | Connect your SIA-DCS compatible alarm system to node-red. It works with Ajax System too. | JavaScript | 20 stars | MIT | https://github.com/Supergiovane/node-red-contrib-sia-ultimate
61. chenj-freedom/PixelType | A browser-based typing game for elementary school students, featuring both Chinese and English versions. Pure frontend—just open and play. | JavaScript | 20 stars | MIT | https://github.com/chenj-freedom/PixelType
62. deusaw/Pebble-Wrist-AI |  | JavaScript | 20 stars | NOASSERTION | https://github.com/deusaw/Pebble-Wrist-AI
63. IBM/node-sdk-core | The node-sdk-core repository contains core functionality required by code generated by the IBM OpenAPI SDK Generator.  | JavaScript | 20 stars | Apache-2.0 | https://github.com/IBM/node-sdk-core
64. kotoba-rin/Lacan-Chinese-Translation-Project |  | JavaScript | 20 stars | CC-BY-4.0 | https://github.com/kotoba-rin/Lacan-Chinese-Translation-Project
65. ChinmayKaitade/GitHub-Terminal-Stats-OpenSource | Create dynamic, terminal-style GitHub Stats for your Profile README! Automatically updates with GitHub Actions. | JavaScript | 20 stars | MIT | https://github.com/ChinmayKaitade/GitHub-Terminal-Stats-OpenSource
66. googleads/googleads-viewability-insights-extension | A DevTools extension for inspecting the viewability of Ad Manager Ads. | JavaScript | 20 stars | Apache-2.0 | https://github.com/googleads/googleads-viewability-insights-extension
67. stefanbohacek/mastodon-tools | Making Mastodon easier to use. | JavaScript | 20 stars | MIT | https://github.com/stefanbohacek/mastodon-tools
68. fmacpro/horseman-article-parser | A web page article parser which returns an object containing the article's formatted text and other attributes including sentiment, keyphrases, people, places, organisations, spelling suggestions, in-article links, meta data & lighthouse audit results. | JavaScript | 20 stars | GPL-3.0 | https://github.com/fmacpro/horseman-article-parser
69. yama-dev/js-scroll-effect-module | [v0.13.6] Add effect at scroll. | JavaScript | 20 stars | MIT | https://github.com/yama-dev/js-scroll-effect-module
70. rickyfont94/climate-cluster-card | Wide-arc instrument-cluster climate (HVAC) card for Home Assistant: a two-ring temp/fan dial with a mode pop-up, swing/LED/sound toggles, and a full GUI editor. | JavaScript | 20 stars | MIT | https://github.com/rickyfont94/climate-cluster-card
71. CLIuno/core | Cliuno is a CLI to make your journey in web development less painful. | JavaScript | 20 stars | AGPL-3.0 | https://github.com/CLIuno/core
72. itsDigvijaysing/gnome-stage-manager | macOS Stage Manager for Linux. Group windows into stages: only one group is visible at a time, others appear as stacked thumbnail cards in a left sidebar. Click a card to swap stages. Supports per-app mode, workspace mode, bell-curve hover animations, and 3D perspective. | JavaScript | 20 stars | NOASSERTION | https://github.com/itsDigvijaysing/gnome-stage-manager
73. biodatlab/biodatlab.github.io | Website for Biomedical and Data (Bio-Dat) lab at Mahidol University, Thailand | JavaScript | 20 stars | MIT | https://github.com/biodatlab/biodatlab.github.io
74. TitaNets/FlipperZero-SWGE-Beacons |  | JavaScript | 20 stars | MIT | https://github.com/TitaNets/FlipperZero-SWGE-Beacons
75. logimaxx/zbxwizz | ZbxWizz is a data-driven tool that simplifies and automates Zabbix configuration workflows. It lets administrators and DevOps engineers perform bulk operations—such as onboarding hosts, updating tags, or generating reports—through an intuitive spreadsheet-like interface powered by JavaScript transformations and Zabbix API integration. | JavaScript | 20 stars | MIT | https://github.com/logimaxx/zbxwizz
76. putoutjs/printer | Easiest possible opinionated Babel AST printer | JavaScript | 20 stars | MIT | https://github.com/putoutjs/printer
77. Yanel85/IP-Location-Finder | A Chrome extension that identifies the geographic location of IP addresses on a webpage. | JavaScript | 20 stars | GPL-3.0 | https://github.com/Yanel85/IP-Location-Finder
78. birdofpreyru/babel-preset-svgr | Babel preset for SVG importing into React apps using Babel & SVGR | JavaScript | 20 stars | NOASSERTION | https://github.com/birdofpreyru/babel-preset-svgr
79. Japanese-Schoolgirl/DiscordPlugin-CustomPanelForSendingPictures | Plugin/addon/mod for Discord. Adds panel that loads pictures via settings file with used files and links, allowing you to send pictures in chat with or without text by clicking on pictures preview on the panel. Settings file is automatically created on scanning the plugin folder or custom folder (supports subfolders and will show them as sections/groups). | JavaScript | 20 stars | MIT | https://github.com/Japanese-Schoolgirl/DiscordPlugin-CustomPanelForSendingPictures
80. eroxmerox/AmbientGlass | Premium glassmorphism theme for Spicetify with atmospheric glows, floating UI elements, and Apple-style aesthetics. | JavaScript | 20 stars | MIT | https://github.com/eroxmerox/AmbientGlass
81. newrelic/nr1-github | NR1 Github allows you to create more context to your entities by having access to the GitHub repository, contributors and README. | JavaScript | 20 stars | Apache-2.0 | https://github.com/newrelic/nr1-github
82. canisdata/desktop_workspace | A desktop shell for Nextcloud | JavaScript | 20 stars | AGPL-3.0 | https://github.com/canisdata/desktop_workspace
83. the6fallenangel/gnome-baha | Baha | A GNOME Shell extension for displaying live gold, currency, and cryptocurrency rates in your top bar | بها — افزونه گنوم‌شل برای نمایش نرخ لحظه‌ای طلا، ارز و رمزارزها | JavaScript | 20 stars | GPL-3.0 | https://github.com/the6fallenangel/gnome-baha
84. pengutronix/flamingo | python3-based, pelican-inspired static site generator | JavaScript | 20 stars | Apache-2.0 | https://github.com/pengutronix/flamingo
85. axelarnetwork/axelar-contract-deployments | Contract deployment scripts and resources for Axelar | JavaScript | 20 stars | MIT | https://github.com/axelarnetwork/axelar-contract-deployments
86. kgstorm/home-assistant-calorie-tracker | Calorie and weight tracker with Voice Assist support. | JavaScript | 20 stars | MIT | https://github.com/kgstorm/home-assistant-calorie-tracker
87. ariya/chat-llm | Chat with an LLM | JavaScript | 20 stars | MIT | https://github.com/ariya/chat-llm
88. kaermorchen/ember-photoswipe | An Ember addon for using Photoswipe in Ember applications. | JavaScript | 20 stars | MIT | https://github.com/kaermorchen/ember-photoswipe
