OpenFork Discoveries — 2026-08-14
共 300 个仓库（每日上限 300）
条件: 主流语言 · Star 1-20 · 90 天内更新 · 含 README 与许可证 · 非 fork · 非空仓库

1. https://github.com/PunishXIV/Questionable |  | C# | 21 stars | AGPL-3.0
2. https://github.com/americanexpress/babel-preset-amex | ✨ Standard babel preset for American Express | JavaScript | 20 stars | Apache-2.0
3. https://github.com/a3rev/a3-lazy-load | Speed up your site and enhance frontend user's visual experience in PC's, Tablets and mobile with a3 Lazy Load. | JavaScript | 20 stars | GPL-3.0
4. https://github.com/markmead/alpinejs-slug | Transform a string into a slug with Alpine JS and Slugify 🐌 | JavaScript | 20 stars | MIT
5. https://github.com/Klimadatastyrelsen/skraafoto_frontend | Webapplikation, som gør det muligt at finde og vise skråfotos.  | JavaScript | 20 stars | MIT
6. https://github.com/emollick/imminence | a suburb, on the last evening - a ten-minute game printed in three inks and a gold. Play: the-imminence.netlify.app | JavaScript | 20 stars | MIT
7. https://github.com/GoogleChromeLabs/pending-beacon-polyfill |  | JavaScript | 20 stars | Apache-2.0
8. https://github.com/itsliaaa/starseed | A lightweight and modular WhatsApp bot built with Baileys, bringing group management, moderation, fun quiz games, and handy tools together in a fast, efficient, and minimal setup. | JavaScript | 20 stars | Apache-2.0
9. https://github.com/EasyEyes/remote-calibrator | Measure screen size, track viewing distance and gaze, and more! | JavaScript | 20 stars | MIT
10. https://github.com/usyless/twitter-improvements | Easy Twitter/X full quality image and video downloading with custom filenames, easy copying tweets with VXTwitter or FXTwitter links, sidebar and tweet button hiding, and other quality of life features! | JavaScript | 20 stars | GPL-3.0
11. https://github.com/presidential-innovation-fellows/pif-website | PIF website, jekyll flavored | JavaScript | 20 stars | NOASSERTION
12. https://github.com/S1implyBlue/PTF-Studio | A visual PSP PTF theme maker, editor and live XMB preview.  | JavaScript | 20 stars | GPL-3.0
13. https://github.com/Nir-Bhay/markups | A sleek, real-time Markdown editor with advanced preview, syntax highlighting, and extensible plugins. | JavaScript | 20 stars | MIT
14. https://github.com/mwakidenis/E-Commerce-Website | This project is an e-commerce website featuring three roles: Admin, User, and Guest. It consists of two systems: MainSystem for core functionalities like browsing, shopping, and management, and SubSystem for payment processing. Built using Node.js, Express.js, and TailwindCSS, it ensures a modern, scalable, and user-friendly experience. | JavaScript | 20 stars | MIT
15. https://github.com/paypal/paypal-card-components | A Hosted Fields component for Payments SDK | JavaScript | 20 stars | Apache-2.0
16. https://github.com/1024pix/pix-ui | Pix-UI is the implementation of Pix design principles and guidelines for its products. | JavaScript | 20 stars | MIT
17. https://github.com/sffxzzp/EpicInfo | 将匹配于其乐社区中的 Epic 游戏链接，并变更已拥有游戏的链接颜色。 | JavaScript | 20 stars | MIT
18. https://github.com/dipterix/three-brain-js | Javascript engine for 3D brain model (used by RAVE project) | JavaScript | 20 stars | MPL-2.0
